,Channel,Text,Date,Compound,Positive,Neutral,Negative
341,FoxNews,"JUST IN: @POTUS will meet next month with Putin in Helsinki, Finland, @WhiteHouse announces https://t.co/O0PSB6wo5i",Thu Jun 28 12:13:40 +0000 2018,0.0,0.0,1.0,0.0
342,FoxNews,.@newtgingrich: “The American people deserve to know whether or not the Justice Department and the FBI had been cor… https://t.co/ghrZloVcDg,Thu Jun 28 12:02:50 +0000 2018,-0.4168,0.0,0.873,0.127
343,FoxNews,.@newtgingrich: “I think this is a huge moment for the president and for the country.” https://t.co/xrp6GtxYeO… https://t.co/TRvA01Mdbt,Thu Jun 28 11:55:49 +0000 2018,0.3182,0.133,0.867,0.0
344,FoxNews,".@SenMikeLee on @POTUS: “On the whole, I’ve supported his efforts to restore federalism, to restore separation of p… https://t.co/tXoTHe1clp",Thu Jun 28 11:40:46 +0000 2018,0.6908,0.295,0.705,0.0
345,FoxNews,.@SenMikeLee on @foxandfriends: “I’m honored even to be considered for something like this.” https://t.co/xrp6GtxYeO https://t.co/wGqjrU1gqV,Thu Jun 28 11:36:35 +0000 2018,0.743,0.326,0.674,0.0
346,FoxNews,"Photo of the Day: The full moon rises beyond One Kansas City Place in downtown Kansas City, Missouri. https://t.co/pxJw9mXKre",Thu Jun 28 11:14:08 +0000 2018,0.0,0.0,1.0,0.0
347,FoxNews,Goodlatte: Peter Strzok's Answers About Anti-Trump Texts 'Not Believable' https://t.co/xywLupj6Dj,Thu Jun 28 11:00:01 +0000 2018,0.0,0.0,1.0,0.0
348,FoxNews,".@SharkGregNorman: ""When I travel the world...people say, 'Welcome back, America.'"" https://t.co/SSGnKQWgAP",Thu Jun 28 10:59:16 +0000 2018,0.4588,0.25,0.75,0.0
349,FoxNews,.@ChickfilA worker saves choking customer with Heimlich maneuver: 'He's a hero' https://t.co/ovrFSic1Pq,Thu Jun 28 10:55:00 +0000 2018,0.1531,0.231,0.577,0.192
350,FoxNews,Victoria’s Secret model says bed bugs ‘massacred’ her at hotel https://t.co/oNT3fZ3M6K,Thu Jun 28 10:49:09 +0000 2018,0.0,0.0,1.0,0.0
351,FoxNews,.@realDonaldTrump Rips @RepMaxineWaters at ND Rally: 'Imagine If I Said Those Things' https://t.co/brcJgHcLri,Thu Jun 28 10:42:40 +0000 2018,0.0,0.0,1.0,0.0
352,FoxNews,"Jonathan Turley on Justice Kennedy's retirement: ""The timing could not be better for the @WhiteHouse.""… https://t.co/W6qXwxZAd3",Thu Jun 28 10:37:50 +0000 2018,0.2486,0.172,0.707,0.121
353,FoxNews,Scarlett Johansson denies claim that she auditioned to be in a relationship with Tom Cruise https://t.co/aizdsH6Kg0,Thu Jun 28 10:34:05 +0000 2018,-0.4215,0.0,0.833,0.167
354,FoxNews,"Mark Janus: ""Why should I, as a condition of employment, be forced to pay a fee in order to just work in a public s… https://t.co/jdDzoVRMby",Thu Jun 28 10:29:41 +0000 2018,-0.5267,0.0,0.827,0.173
355,FoxNews,Hope Solo calls US soccer a 'rich white-kid sport' https://t.co/lneBkOwHEX,Thu Jun 28 10:26:08 +0000 2018,0.7579,0.481,0.519,0.0
356,FoxNews,".@DaveBratVA7th on @Ocasio2018: ""She's the underdog and so people like the underdog."" https://t.co/QTOXnHcfrC https://t.co/v2VPYD7VDE",Thu Jun 28 10:23:48 +0000 2018,0.4173,0.176,0.824,0.0
357,FoxNews,.@FLOTUS heading to southern border today to visit immigration centers https://t.co/1gF5ozcRpg,Thu Jun 28 10:16:58 +0000 2018,0.0,0.0,1.0,0.0
358,FoxNews,.@DouglasESchoen: Progressive Democrats win big in primaries (but it's risky when they copy Trump's behavior) https://t.co/IHBwSqsKly,Thu Jun 28 10:12:04 +0000 2018,0.4588,0.194,0.714,0.092
359,FoxNews,".@Judgenap: ""Every single person on that list is pro-life. So, the Democrats will see this is the potential demise… https://t.co/oa6t7T61XQ",Thu Jun 28 10:08:39 +0000 2018,0.0,0.0,1.0,0.0
360,FoxNews,"Immigration lawyer trying to reunite mother, child claims ICE agent shoved her https://t.co/FXaDDx8UPK",Thu Jun 28 10:05:43 +0000 2018,0.0,0.0,1.0,0.0
361,FoxNews,"JUST IN: Summit between @POTUS and Putin to be in Helsinki, Finland https://t.co/zCcSFabtOU",Thu Jun 28 10:00:37 +0000 2018,0.0,0.0,1.0,0.0
362,FoxNews,DNC members groan when hearing news of Kennedy’s retirement https://t.co/XC1mJ2zdVe https://t.co/p4PLM2kbVd,Thu Jun 28 09:58:09 +0000 2018,0.0,0.0,1.0,0.0
363,FoxNews,"Naweed Tahmas: ""@UCBerkeley has demonstrated a pattern now of circumventing federal law, whether it's failing to up… https://t.co/zom7Un1Rhe",Thu Jun 28 09:54:57 +0000 2018,-0.5106,0.0,0.829,0.171
364,FoxNews,".@KieranLalor: 'You definitely want to run with Trump on your side."" @FoxFriendsFirst https://t.co/kpTGHc8pqa",Thu Jun 28 09:50:04 +0000 2018,0.4588,0.267,0.733,0.0
365,FoxNews,"Man found dead at @Braves ballpark was installing beer system, reports say https://t.co/NyYt6PsnNZ",Thu Jun 28 09:48:41 +0000 2018,-0.6486,0.0,0.736,0.264
366,FoxNews,".@AreuCathy on @Ocasio2018: ""It's the Bernie message that it seems like millennials are responding to.""… https://t.co/I54VUzzrn8",Thu Jun 28 09:39:18 +0000 2018,0.3612,0.143,0.857,0.0
367,FoxNews,Rescue personnel walk out of the entrance to a cave complex where it's believed that 12 soccer team members and the… https://t.co/i0rFvqRefE,Thu Jun 28 09:33:28 +0000 2018,0.5106,0.142,0.858,0.0
368,FoxNews,CATCH OF A LIFETIME: One young fan’s night was complete after New York @Yankees outfielder Aaron Judge played catch… https://t.co/2K8WsYMweD,Thu Jun 28 09:30:01 +0000 2018,0.34,0.118,0.882,0.0
369,FoxNews,.@NancyPelosi on @Ocasio2018's win: They made a choice in 1 district https://t.co/gdpfy0VMRI https://t.co/9DFKS1UMaM,Thu Jun 28 09:27:32 +0000 2018,0.5859,0.275,0.725,0.0
370,FoxNews,".@ASwoyer: ""The @DNC is actually already fundraising off of Justice Kennedy's retirement...They're hoping it energi… https://t.co/6NhAYTT2lj",Thu Jun 28 09:21:21 +0000 2018,0.7351,0.307,0.693,0.0
371,FoxNews,"DHS formally asks Pentagon to house 12,000 migrant family members https://t.co/EVm67kihis",Thu Jun 28 09:14:00 +0000 2018,0.0,0.0,1.0,0.0
372,FoxNews,Benghazi mastermind sentenced to 22 years in prison on federal terrorism charges https://t.co/xEsbLLgZUN https://t.co/fWvlVax5yw,Thu Jun 28 09:10:45 +0000 2018,-0.8779,0.0,0.474,0.526
373,FoxNews,"Veteran, fiancée win 'dream wedding' in auction after couple calls it quits https://t.co/xK5K2D4fCX",Thu Jun 28 09:06:18 +0000 2018,0.7003,0.345,0.655,0.0
374,FoxNews,"Speeder caught driving 120 mph in a construction asks for a warning, gets something much worse https://t.co/iavWzG9jTU",Thu Jun 28 09:04:19 +0000 2018,-0.6705,0.0,0.703,0.297
375,FoxNews,"Jessica Vaughan: ""It was, I think, doomed to fail to begin with because of the size of the amnesty and the lack of… https://t.co/znsfTeJkZA",Thu Jun 28 08:57:45 +0000 2018,-0.875,0.0,0.667,0.333
376,FoxNews,"Stormy Daniels' lawyer, Michael Avenatti, also represents planned pot farm: report https://t.co/5eoTt0baHy",Thu Jun 28 08:53:50 +0000 2018,0.0,0.0,1.0,0.0
377,FoxNews,TSA predicts busy holiday travel weekends https://t.co/nCs547yGVK,Thu Jun 28 08:49:43 +0000 2018,0.4019,0.31,0.69,0.0
378,FoxNews,"Daniel Hoffman on Trump-Putin summit: ""This is an important meeting, there is value there."" @FoxFriendsFirst https://t.co/je6eqeOYl6",Thu Jun 28 08:43:19 +0000 2018,0.4939,0.231,0.769,0.0
379,FoxNews,Lawyers for man accused of killing wife call for mistrial after Drew Peterson reference https://t.co/HUlYN7lAxk https://t.co/ZZyRz3vZuT,Thu Jun 28 08:39:54 +0000 2018,-0.765,0.0,0.68,0.32
380,FoxNews,"Trump, at ND rally, says keeping Senate in @GOP hands 'the most important thing' after Kennedy retirement… https://t.co/dAvCpys2oZ",Thu Jun 28 08:34:12 +0000 2018,0.2716,0.11,0.89,0.0
381,FoxNews,Firefighters in Maine helped a 97-year-old widow of a World War II veteran with the patriotic task of raising a new… https://t.co/PUepttpKRn,Thu Jun 28 08:30:44 +0000 2018,-0.5994,0.0,0.822,0.178
382,FoxNews,"Hans von Spakovsky: ""[Brett Kavanaugh] is the kind of conservative, the kind of constitutionalist that I'm sure tha… https://t.co/gK8g62nbV3",Thu Jun 28 08:25:09 +0000 2018,0.3182,0.113,0.887,0.0
383,FoxNews,Peter Strzok grilled for hours on Capitol Hill over any involvement in start of Russia probe https://t.co/1yloW7Kg3i https://t.co/zI2wVVCuZJ,Thu Jun 28 08:18:15 +0000 2018,0.0,0.0,1.0,0.0
384,FoxNews,"President @realDonaldTrump arrives to speak at a campaign rally  in Fargo, North Dakota, on Wednesday.… https://t.co/I8KlnHBDIf",Thu Jun 28 08:16:05 +0000 2018,0.0,0.0,1.0,0.0
385,FoxNews,Media frowning in disapproval as high court upholds #Trump travel ban https://t.co/GzTiIZ6rtP,Thu Jun 28 08:13:09 +0000 2018,-0.7184,0.0,0.625,0.375
386,FoxNews,Trump-Putin meeting details to be announced today https://t.co/GUOkCGlp81,Thu Jun 28 08:11:47 +0000 2018,0.0,0.0,1.0,0.0
387,FoxNews,"Justice Anthony Kennedy announces retirement, giving #Trump 2nd Supreme Court pick https://t.co/iOsqcmWaQw https://t.co/0yyZuGajTy",Thu Jun 28 08:08:45 +0000 2018,0.8555,0.485,0.515,0.0
388,FoxNews,Potential SCOTUS Nominees https://t.co/7Do7LBbAzT https://t.co/02WC8PtmoJ,Thu Jun 28 08:04:28 +0000 2018,0.0,0.0,1.0,0.0
389,FoxNews,"President @realDonaldTrump: ""When we're $500 billion down, they say 'Trump is starting a trade war.' I say, 'No, th… https://t.co/YeLSczhZ0V",Thu Jun 28 08:00:00 +0000 2018,0.0,0.0,1.0,0.0
390,FoxNews,Anthony Kennedy: Swing justice wielded quiet power in a range of high-profile cases https://t.co/sNCf5HtWjp,Thu Jun 28 07:53:00 +0000 2018,0.5267,0.221,0.779,0.0
391,FoxNews,.@RochelleRitchie: “I think one of the problems in this country right now is that freedom of speech is only free wh… https://t.co/Qfmf0ZGdyi,Thu Jun 28 07:45:00 +0000 2018,0.7003,0.257,0.651,0.092
392,FoxNews,The American flag flies near the national emblem of China outside of the Bayi Building before a welcome ceremony fo… https://t.co/nVWtPdtujJ,Thu Jun 28 07:38:00 +0000 2018,0.4588,0.136,0.864,0.0
393,FoxNews,.@michellemalkin: “Where are the Democrat leaders to condemn the disruption of the ordinary business of processing… https://t.co/T1Pfa6sCOD,Thu Jun 28 07:30:00 +0000 2018,-0.6249,0.0,0.746,0.254
394,FoxNews,‘Unbearable’ smelling passenger that caused plane’s emergency landing dies from tissue necrosis https://t.co/yG8Ny9z0bt,Thu Jun 28 07:23:00 +0000 2018,-0.3818,0.0,0.822,0.178
395,FoxNews,".@SenSchumer: ""Our Republican colleagues in the Senate should follow the rule they set in 2016: not to consider a S… https://t.co/Fc9vH2uMtm",Thu Jun 28 07:15:00 +0000 2018,0.0,0.0,1.0,0.0
396,FoxNews,"CAN I GET A RIDE?: One alligator hitched a ride home from police after wandering away from a lake in Brandon, Flori… https://t.co/tPAXO4QUMw",Thu Jun 28 07:07:00 +0000 2018,0.0,0.0,1.0,0.0
397,FoxNews,"President @realDonaldTrump on trade: ""The era of global freeloading and taking advantage of the United States is ov… https://t.co/oMUgauUHeZ",Thu Jun 28 07:00:01 +0000 2018,0.3612,0.208,0.693,0.1
398,FoxNews,"Rapper Ty Dolla $ign tried to have blind woman, seeing-eye dog moved on plane because of allergies https://t.co/ao6YttWZcA",Thu Jun 28 06:53:00 +0000 2018,-0.0258,0.122,0.751,0.127
399,FoxNews,".@robertjeffress: ""President Trump is the most consequential president since Ronald Reagan. But I'm changing that t… https://t.co/IZaraXS9GO",Thu Jun 28 06:45:00 +0000 2018,0.0,0.0,1.0,0.0
400,NYtimes,"2018 is ""officially, extremely canceled"" https://t.co/rSVC5CCQYs",Thu Jun 28 17:30:13 +0000 2018,0.0,0.0,1.0,0.0
401,NYtimes,Julie Ruvolo spoke about Silicon Valley's use of nondisclosure agreements to resolve harassment claims. She said An… https://t.co/tl2CHXj3wM,Thu Jun 28 17:24:00 +0000 2018,0.0516,0.203,0.647,0.151
402,NYtimes,"While students publicly praise ideological classes on Mao, in private many say they find the courses dull and irrel… https://t.co/xTdxiNnBWF",Thu Jun 28 17:20:05 +0000 2018,0.2263,0.148,0.741,0.111
403,NYtimes,"In 2016, Mitch McConnell repeatedly cited a nonexistent Senate “tradition” of not considering Supreme Court nominee… https://t.co/sTv6lK4plJ",Thu Jun 28 17:10:04 +0000 2018,-0.4449,0.0,0.837,0.163
404,NYtimes,A region that is already home to some of the world’s poorest and hungriest people could face greater misery if noth… https://t.co/cpGqkXyR6L,Thu Jun 28 17:00:17 +0000 2018,-0.6908,0.09,0.65,0.26
405,NYtimes,"In an effort to help get its millions of packages to shoppers faster, Amazon wants to build an army of delivery peo… https://t.co/RbvjpVp4eM",Thu Jun 28 16:50:05 +0000 2018,0.5267,0.173,0.827,0.0
406,NYtimes,"Gwyneth Paltrow, who told us how she was expected to keep Harvey Weinstein's unwanted advances a secret, said to se… https://t.co/bKGOwAUWIQ",Thu Jun 28 16:46:15 +0000 2018,-0.2263,0.0,0.909,0.091
407,NYtimes,"Deborah Harris reported being “berated and humiliated” by Benjamin Genocchio, the executive director of the Armory… https://t.co/6msApPNkyi",Thu Jun 28 16:44:00 +0000 2018,0.0,0.0,1.0,0.0
408,NYtimes,"Along with the seismic triumph of Alexandria Ocasio-Cortez in New York, Ben Jealous's victory signaled enthusiasm b… https://t.co/QmekU9jkkp",Thu Jun 28 16:40:07 +0000 2018,0.7184,0.273,0.727,0.0
409,NYtimes,"The movie ""Rabbit-Proof Fence"" told the story of Daisy Kadibil and 2 other Aboriginal Australians who were taken fr… https://t.co/nn1VtHnfpu",Thu Jun 28 16:30:20 +0000 2018,0.0,0.0,1.0,0.0
410,NYtimes,The identity of a London jogger who pushed a woman into the path of a bus will most likely remain a mystery as the… https://t.co/vqsVpstbNu,Thu Jun 28 16:20:09 +0000 2018,0.0,0.0,1.0,0.0
411,NYtimes,RT @nytopinion: America’s outdated political system allowed Trump and the party of the monocultural country to seize total control of the s…,Thu Jun 28 16:18:07 +0000 2018,0.4019,0.114,0.886,0.0
412,NYtimes,"A former aide to Roger Stone, the longtime Trump adviser, was subpoenaed by the Russia special counsel Robert Muell… https://t.co/4ka9Fqovf3",Thu Jun 28 16:11:30 +0000 2018,0.4019,0.13,0.87,0.0
413,NYtimes,Drew Dixon: “It’s complicated as a black woman — do you take it for the team? Which is what I did for 22 years. Or… https://t.co/SS8kGESjr1,Thu Jun 28 16:04:00 +0000 2018,0.0,0.0,1.0,0.0
414,NYtimes,"For $15-an-hour jobs, a Colorado business owner said she can't find workers. She wants to hire foreigners, but that… https://t.co/TchYbrkgFt",Thu Jun 28 16:00:19 +0000 2018,0.0,0.0,1.0,0.0
415,NYtimes,“My stomach dropped. I know that Trump is hellbent on replacing any justice with somebody who would be a threat to… https://t.co/w2X63n6pa8,Thu Jun 28 15:50:03 +0000 2018,0.0,0.137,0.726,0.137
416,NYtimes,Is it lunchtime yet? https://t.co/SyhWokpAiD,Thu Jun 28 15:40:09 +0000 2018,0.0,0.0,1.0,0.0
417,NYtimes,RT @melenar: They kept secrets about powerful men for years. How did it feel to speak their truth? 20 people who said #MeToo tell us what h…,Thu Jun 28 15:30:14 +0000 2018,0.6249,0.169,0.831,0.0
418,NYtimes,Natalie Saibel: “I didn’t want it to be just about me and my validation and my revenge. I wanted others to have a s… https://t.co/3eboAoDwhL,Thu Jun 28 15:24:00 +0000 2018,-0.4767,0.051,0.817,0.132
419,NYtimes,"The British Museum's director condemned the modern ivory trade, but defended the decision to preserve existing ivor… https://t.co/t3PEMnNEv3",Thu Jun 28 15:20:06 +0000 2018,-0.2382,0.0,0.897,0.103
420,NYtimes,"Fueled by alarm over the separation of migrant children from their parents, local governments around the U.S. are e… https://t.co/WSKI9wdFNb",Thu Jun 28 15:10:07 +0000 2018,-0.34,0.0,0.888,0.112
